Id_mun_agee,NOM_MUN,tasa_mortalidad_20_1,tasa_mortalidad_20_2,tasa_mortalidad_21_1,tasa_mortalidad_21_2,dens_pobl_norm,mortalidad_norm_20_1,mortalidad_norm_20_2,mortalidad_norm_21_1,mortalidad_norm_21_2,pobreza_norm
15121,Cuautitlán Izcalli,99.79051,124.10769,195.61822,60.70289,0.28649,0.47321,0.55868,0.58673,0.24408,0.28446
15122,Valle de Chalco Solidaridad,138.87081,85.77315,155.46383,85.77315,0.47344,0.66037,0.38612,0.46629,0.34654,0.66521
15124,San José del Rincón,24.97952,14.98771,82.932,94.92216,0.01119,0.11493,0.06747,0.24874,0.38393,0.78228
16006,Apatzingán,38.83003,43.58472,81.6223,116.49008,0.0039,0.18126,0.1962,0.24481,0.47208,0.39168
16034,Hidalgo,4.77281,35.00064,114.54754,114.54754,0.00578,0.01816,0.15756,0.34357,0.46414,0.66521
16052,Lázaro Cárdenas,81.6314,116.32475,60.71336,139.79378,0.00922,0.38625,0.52365,0.1821,0.56732,0.28009
16053,Morelia,11.30671,86.80259,134.85613,65.24917,0.03986,0.04945,0.39075,0.40448,0.26266,0.23851
16069,La Piedad,20.65922,98.60081,192.50634,50.70899,0.02077,0.09424,0.44386,0.57739,0.20324,0.33042
16088,Tarímbaro,10.47916,46.28295,106.53812,62.87496,0.02496,0.04549,0.20835,0.31954,0.25296,0.30525
16102,Uruapan,27.18717,71.19113,88.5685,68.10805,0.01955,0.12551,0.32047,0.26565,0.27434,0.40044
16108,Zamora,16.5967,55.15962,161.57376,48.32569,0.0343,0.07479,0.24831,0.48461,0.1935,0.42123
16112,Zitácuaro,17.82804,66.85513,175.09678,68.76528,0.01693,0.08068,0.30096,0.52517,0.27703,0.58096
17006,Cuautla,100.47136,80.16332,242.62765,99.93694,0.10921,0.47647,0.36086,0.72772,0.40443,0.5
17007,Cuernavaca,72.39561,81.90744,228.28396,96.4394,0.10713,0.34201,0.36872,0.6847,0.39013,0.34792
17008,Emiliano Zapata,50.4423,47.63995,128.90811,69.12464,0.08904,0.23688,0.21446,0.38664,0.2785,0.47702
17011,Jiutepec,61.75792,65.93703,201.52584,95.65512,0.21819,0.29107,0.29682,0.60444,0.38693,0.407
17018,Temixco,71.15808,44.98499,177.48624,92.42371,0.06702,0.33609,0.20251,0.53234,0.37372,0.61269
17029,Yautepec,39.70505,66.17508,218.37777,82.24617,0.03085,0.18546,0.29789,0.65499,0.33213,0.54486
18017,Tepic,22.30445,77.71339,94.61782,110.34833,0.01434,0.10212,0.34984,0.28379,0.44698,0.17615
18020,Bahía de Banderas,40.50482,35.17524,43.16961,150.82715,0.01336,0.18929,0.15835,0.12948,0.61241,0.26696
19006,Apodaca,33.96987,110.28785,71.29104,65.04546,0.1557,0.15799,0.49647,0.21383,0.26183,0.09519
19009,Cadereyta Jiménez,33.51398,75.20211,85.82849,116.07282,0.00562,0.15581,0.33853,0.25743,0.47037,0.17068
19010,El Carmen,12.44281,30.62846,28.71418,36.37129,0.05777,0.05489,0.13788,0.08612,0.14464,0.25055
19018,García,13.34324,58.40813,41.2885,42.29554,0.02141,0.05921,0.26293,0.12384,0.16885,0.18709
19019,San Pedro Garza García,22.69821,99.87213,90.79285,34.80393,0.10537,0.10401,0.44959,0.27232,0.13823,0.0
19021,General Escobedo,28.26191,103.28067,75.64218,67.95328,0.18073,0.13065,0.46493,0.22688,0.27371,0.21335
19025,General Zuazua,18.60028,43.07433,32.30575,61.67461,0.03109,0.08438,0.1939,0.0969,0.24805,0.20022
19026,Guadalupe,45.09106,172.58992,149.73342,114.74897,0.30943,0.21125,0.77693,0.4491,0.46496,0.11269
19031,Juárez,20.35956,51.74721,51.53513,74.01548,0.10807,0.09281,0.23295,0.15457,0.29849,0.20678
19039,Monterrey,45.49455,180.31591,155.55637,115.13621,0.1995,0.21318,0.81171,0.46657,0.46654,0.14989
19041,Pesquería,20.9993,44.70818,27.09587,52.83694,0.02669,0.09587,0.20126,0.08127,0.21193,0.19694
19046,San Nicolás de los Garza,54.10008,200.87385,181.22315,119.60243,0.39015,0.25439,0.90426,0.54355,0.4848,0.05799
19048,Santa Catarina,24.81049,153.10686,125.35828,47.98872,0.01854,0.11412,0.68923,0.37599,0.19212,0.12035
20043,Juchitán de Zaragoza,53.71137,66.91908,86.29039,245.66347,0.00661,0.25253,0.30124,0.25881,1.0,0.49672
20067,Oaxaca de Juárez,92.26624,97.06409,186.37781,97.80222,0.17263,0.43718,0.43694,0.55901,0.3957,0.31182
20184,San Juan Bautista Tuxtepec,169.9571,40.76462,57.69761,159.92274,0.00986,0.80925,0.18351,0.17305,0.64958,0.52407
20385,Santa Cruz Xoxocotlán,72.70771,79.67969,120.51553,74.69971,0.12927,0.34351,0.35869,0.36147,0.30128,0.46718
21015,Amozoc,67.52677,42.89936,95.33191,56.40472,0.05254,0.3187,0.19312,0.28593,0.22651,0.61926
21019,Atlixco,52.18875,111.43004,244.01769,169.96608,0.02704,0.24524,0.50161,0.73189,0.69063,0.6105
21041,Cuautlancingo,50.93317,70.57882,128.06054,52.3884,0.20517,0.23923,0.31772,0.3841,0.2101,0.3326
21071,Huauchinango,41.36763,63.49451,79.84915,89.46953,0.02307,0.19342,0.28583,0.23949,0.36165,0.68818
21114,Puebla,108.08536,107.6126,216.28892,109.26727,0.17543,0.51294,0.48443,0.64872,0.44256,0.39278
21119,San Andrés Cholula,71.22138,62.15684,108.77447,56.32964,0.14837,0.33639,0.27981,0.32625,0.22621,0.48359
21132,San Martín Texmelucan,108.51558,90.53667,133.55764,76.41038,0.09792,0.515,0.40756,0.40058,0.30828,0.65427
21140,San Pedro Cholula,78.73845,69.34763,154.58742,64.29103,0.10175,0.37239,0.31218,0.46366,0.25874,0.48031
21156,Tehuacán,94.40534,51.02166,113.04199,51.32717,0.03318,0.44742,0.22968,0.33905,0.20576,0.56565
21174,Teziutlán,34.75474,100.40258,98.47176,118.74535,0.06286,0.16175,0.45197,0.29535,0.4813,0.49891
22006,Corregidora,14.58364,89.38358,125.60746,48.92575,0.05096,0.06515,0.40237,0.37674,0.19595,0.14114
22011,El Marqués,21.15096,74.67583,116.11444,47.48174,0.01718,0.0966,0.33616,0.34827,0.19005,0.31182
22014,Querétaro,28.10121,119.07291,152.22281,66.39505,0.08679,0.12988,0.53602,0.45657,0.26734,0.21007
22016,San Juan del Río,17.79694,89.65628,162.18721,56.07715,0.02149,0.08053,0.4036,0.48645,0.22517,0.30416
23004,Othón P. Blanco,84.31487,88.16682,71.04705,99.72266,0.00036,0.3991,0.39689,0.21309,0.40355,0.41904
23005,Benito Juárez,103.89434,68.8972,87.438,79.86809,0.02419,0.49287,0.31015,0.26226,0.32241,0.35449
23008,Solidaridad,49.13122,39.24506,39.24506,56.02157,0.01007,0.2306,0.17667,0.11771,0.22495,0.34792
24013,Ciudad Valles,48.50282,88.08559,57.98039,100.35067,0.00373,0.22759,0.39653,0.1739,0.40612,0.41357
24020,Matehuala,18.59118,91.97742,90.99893,36.20388,0.00399,0.08434,0.41405,0.27294,0.14395,0.34683
24028,San Luis Potosí,29.27927,176.99154,139.81674,42.65781,0.03451,0.13553,0.79675,0.41936,0.17033,0.16193
24035,Soledad de Graciano Sánchez,35.8356,165.62673,149.3652,43.36409,0.06143,0.16692,0.74559,0.448,0.17322,0.18709
25001,Ahome,94.925,82.07964,67.27483,98.84392,0.00606,0.44991,0.36949,0.20178,0.39996,0.24289
25006,Culiacán,81.11367,101.54156,73.64005,110.60955,0.00858,0.38377,0.4571,0.22087,0.44804,0.19147
25011,Guasave,104.71023,81.21091,79.48301,83.28438,0.00513,0.49677,0.36558,0.2384,0.33637,0.32276
25012,Mazatlán,95.92355,94.12872,62.81896,147.57469,0.01078,0.45469,0.42373,0.18842,0.59912,0.16849
25018,Navolato,103.27115,94.55345,70.41215,84.49457,0.00316,0.48988,0.42564,0.21119,0.34131,0.32495
26018,Cajeme,176.40967,72.6258,64.37808,137.92029,0.00462,0.84015,0.32693,0.19309,0.55966,0.25602
26029,Guaymas,124.9498,80.96237,89.88735,103.91233,0.00065,0.5937,0.36446,0.2696,0.42067,0.29431
26030,Hermosillo,113.8569,95.5928,83.41673,68.78409,0.00266,0.54058,0.43032,0.2502,0.27711,0.1849
26042,Navojoa,82.12328,71.78183,68.74023,106.45611,0.00285,0.3886,0.32313,0.20618,0.43107,0.36543
26043,Nogales,110.65707,54.76203,44.94263,32.85722,0.00809,0.52525,0.24652,0.1348,0.13028,0.26258
26055,San Luis Río Colorado,129.1321,145.71327,65.8222,88.93534,0.0008,0.61373,0.65594,0.19742,0.35946,0.39278
27002,Cárdenas,97.85017,37.82444,56.73666,86.33839,0.00627,0.46392,0.17027,0.17017,0.34885,0.55361
27003,Centla,72.40256,46.4119,28.77538,88.1826,0.0018,0.34205,0.20893,0.08631,0.35639,0.78009
27004,Centro,151.84163,81.187,58.51315,74.3117,0.02215,0.72249,0.36547,0.1755,0.2997,0.33151
27005,Comalcalco,87.9573,45.60749,39.09213,66.08432,0.01543,0.41654,0.20531,0.11725,0.26607,0.54048
27006,Cunduacán,66.29899,28.41385,32.78521,70.67035,0.01255,0.31282,0.12791,0.09833,0.28482,0.59956
27008,Huimanguillo,85.39173,29.86091,24.62215,84.34398,0.00352,0.40425,0.13442,0.07385,0.3407,0.61926
27012,Macuspana,133.03825,65.57336,44.76643,102.77363,0.00324,0.63244,0.29519,0.13427,0.41602,0.69803
27013,Nacajuca,113.77246,42.5815,35.92814,72.52162,0.01521,0.54017,0.19169,0.10776,0.29238,0.46718
28003,Altamira,15.19701,88.58742,31.87664,85.25149,0.00876,0.06808,0.39879,0.09561,0.34441,0.40044
28009,Ciudad Madero,36.90521,164.61665,78.66636,82.06553,0.24347,0.17205,0.74104,0.23595,0.33139,0.19584
28021,El Mante,32.03196,137.54899,86.67471,145.08592,0.00321,0.14871,0.61919,0.25997,0.58895,0.37418
28022,Matamoros,38.19336,94.83762,52.95408,56.82877,0.00618,0.17822,0.42692,0.15883,0.22825,0.31838
28027,Nuevo Laredo,34.81878,106.10317,79.98908,57.16867,0.01927,0.16205,0.47764,0.23991,0.22964,0.30744
28032,Reynosa,70.09409,63.28333,62.99954,45.97264,0.01226,0.33099,0.28488,0.18896,0.18388,0.24508
28033,Río Bravo,58.12023,56.61061,58.12023,47.55291,0.00428,0.27365,0.25484,0.17432,0.19034,0.43982
28038,Tampico,35.28676,190.88459,66.20469,77.63088,0.14665,0.1643,0.85929,0.19857,0.31326,0.25492
28041,Victoria,16.01428,106.38054,77.49766,77.49766,0.01311,0.072,0.47888,0.23244,0.31272,0.30525
30028,Boca del Río,123.83258,96.1605,78.86544,106.53753,0.21582,0.58835,0.43288,0.23654,0.4314,0.32385
30039,Coatzacoalcos,158.03127,77.88914,103.95947,127.77681,0.05615,0.75213,0.35063,0.31181,0.51821,0.41575
30044,Córdoba,118.69813,73.75892,53.24319,72.78198,0.07228,0.56376,0.33203,0.15969,0.29345,0.45842
30048,Cosoleacaque,91.67093,53.47471,45.83547,93.19878,0.0264,0.43433,0.24072,0.13748,0.37689,0.52188
30087,Xalapa,56.29121,58.13347,86.9955,50.76443,0.22354,0.26489,0.26169,0.26093,0.20346,0.35886
