Lat_Decimal,Lon_Decimal,Altitud,Id_mun_agee,NOM_MUN,total_muertes,total_muertes_21,dens_pobl,POBTOT,tasa_mortalidad,tasa_mortalidad_21,pobreza,lat_norm,lon_norm,alt_norm,dens_pobl_norm,mortalidad_norm,pobreza_norm,mortalidad_norm_21,membresias
20.12236,-98.737001,2379,13048,Pachuca de Soto,1760,2093,2041.11039,314331,559.91932,665.8586,28.2,0.61647,0.843513368,0.85576,0.116,0.21845,0.29102,0.26435,13
20.072371,-98.696035,2423,13051,Mineral de la Reforma,46,86,1763.03478,202749,22.68815,42.41698,18.7,0.61494,0.843163395,0.87158,0.1002,0.00885,0.19298,0.01684,9
19.841089,-98.981584,2265,13069,Tizayuca,183,317,2185.74026,168302,108.73311,188.35189,35.9,0.60785,0.845602849,0.81475,0.12422,0.04242,0.37049,0.07478,1
20.05522,-99.343189,2022,13076,Tula de Allende,533,482,342.58036,115107,463.04743,418.74082,27.8,0.61441,0.848692052,0.72734,0.01947,0.18065,0.28689,0.16624,13
20.080605,-98.368073,2148,13077,Tulancingo de Bravo,193,217,775.89401,168369,114.62918,128.88358,44.5,0.61519,0.840361605,0.77266,0.0441,0.04472,0.45924,0.05117,7
19.708611,-103.464167,1519,14023,Zapotlán el Grande,203,288,421.7619,115141,176.30557,250.1281,26.4,0.6038,0.883897699,0.5464,0.02397,0.06878,0.27245,0.0993,13
20.676389,-103.342222,1537,14039,Guadalajara,4351,6418,9176.35099,1385629,314.00902,463.18315,24.8,0.63344,0.882855919,0.55288,0.52152,0.12251,0.25593,0.18389,5
21.356389,-101.929167,1875,14053,Lagos de Moreno,193,329,68.5499,172403,111.94701,190.83195,37.2,0.65428,0.870784145,0.67446,0.0039,0.04368,0.3839,0.07576,4
20.351389,-102.768056,1525,14063,Ocotlán,111,308,436.41975,106050,104.66761,290.42904,28.4,0.62349,0.877950801,0.54856,0.0248,0.04084,0.29309,0.1153,13
20.613611,-105.227222,101,14067,Puerto Vallarta,359,510,428.54479,291839,123.01303,174.75389,35.4,0.63152,0.898959535,0.03633,0.02436,0.04799,0.36533,0.06938,4
20.519444,-103.181667,1541,14070,El Salto,20,84,2646.04545,232852,8.58915,36.07442,40,0.62864,0.881484293,0.55432,0.15038,0.00335,0.4128,0.01432,1
20.8175,-102.757222,1787,14093,Tepatitlán de Morelos,124,364,107.27857,150190,82.56209,242.35968,28.9,0.63777,0.877858245,0.64281,0.0061,0.03221,0.29825,0.09622,13
20.473611,-103.443056,1580,14097,Tlajomulco de Zúñiga,33,73,1017.83217,727750,4.53452,10.03092,34.4,0.62723,0.883717347,0.56835,0.05785,0.00177,0.35501,0.00398,4
20.638611,-103.307222,1570,14098,San Pedro Tlaquepaque,1533,2962,6135.0625,687127,223.10286,431.07024,27.4,0.63229,0.882556913,0.56475,0.34867,0.08704,0.28277,0.17114,5
20.623333,-103.245556,1651,14101,Tonalá,165,453,3433.21084,569913,28.95179,79.48582,37.2,0.63182,0.882030098,0.59388,0.19512,0.0113,0.3839,0.03156,1
20.720962,-103.388988,1577,14120,Zapopan,302,991,1269.55374,1476491,20.4539,67.11859,26.6,0.63481,0.883255443,0.56727,0.07215,0.00798,0.27451,0.02665,13
19.635509,-98.911906,2250,15002,Acolman,17,50,2041.75,171507,9.91213,29.15333,54.7,0.60156,0.845007587,0.80935,0.11604,0.00387,0.5645,0.01157,10
19.369293,-99.758552,2611,15005,Almoloya de Juárez,29,102,362.96674,174587,16.61063,58.42359,65.3,0.5934,0.852240511,0.93921,0.02063,0.00648,0.67389,0.02319,8
19.543171,-99.235041,2271,15013,Atizapán de Zaragoza,440,373,5754.65934,523674,84.02174,71.22752,38.3,0.59873,0.84776814,0.81691,0.32705,0.03278,0.39525,0.02828,5
19.800029,-99.874254,2573,15014,Atlacomulco,368,640,423.96899,109384,336.42946,585.09471,56.4,0.6066,0.853228957,0.92554,0.0241,0.13125,0.58204,0.23229,15
19.629299,-99.104377,2290,15020,Coacalco de Berriozábal,636,699,8384.11429,293444,216.73641,238.20559,28.6,0.60137,0.846651873,0.82374,0.47649,0.08456,0.29515,0.09457,5
19.665061,-99.17863,2251,15024,Cuautitlán,420,459,6878.73077,178847,234.8376,256.64395,34.1,0.60246,0.847286219,0.80971,0.39094,0.09162,0.35191,0.10189,5
19.261132,-98.895655,2238,15025,Chalco,902,1080,1826.74429,400057,225.46787,269.96153,58.1,0.59009,0.844868755,0.80504,0.10382,0.08796,0.59959,0.10718,10
19.416765,-98.902012,2261,15029,Chicoloapan,34,26,3717.59259,200750,16.93649,12.95143,55.6,0.59485,0.844923063,0.81331,0.21128,0.00661,0.57379,0.00514,10
19.416908,-98.945299,2258,15031,Chimalhuacán,477,518,16027.11364,705193,67.64106,73.45507,68.9,0.59486,0.845292865,0.81223,0.91087,0.02639,0.71104,0.02916,3
19.599069,-99.049159,2259,15033,Ecatepec de Morelos,3340,3616,10348.12579,1645352,202.99608,219.7706,43.5,0.60044,0.846180144,0.81259,0.58811,0.0792,0.44892,0.08725,5
19.833622,-99.204138,2257,15035,Huehuetoca,6,45,1371.79832,163244,3.67548,27.5661,47.6,0.60763,0.847504135,0.81187,0.07796,0.00143,0.49123,0.01094,12
19.36018,-99.351692,2720,15037,Huixquilucan,74,64,2035.46429,284965,25.9681,22.4589,51.3,0.59312,0.848764693,0.97842,0.11568,0.01013,0.52941,0.00892,10
19.313104,-98.884247,2242,15039,Ixtapaluca,1171,1177,1658.13761,542211,215.96758,217.07416,54.2,0.59168,0.844771296,0.80647,0.09424,0.08426,0.55934,0.08618,10
19.569814,-99.769267,2547,15042,Ixtlahuaca,169,264,476.60417,160139,105.53332,164.85678,76.4,0.59954,0.85233205,0.91619,0.02709,0.04117,0.78844,0.06545,6
19.285373,-99.511817,2582,15051,Lerma,59,122,807.23697,170327,34.63925,71.62693,34.8,0.59083,0.850132646,0.92878,0.04588,0.01351,0.35913,0.02844,4
19.25242,-99.604492,2620,15054,Metepec,2286,1714,3616.52239,242307,943.43127,707.3671,33.2,0.58982,0.850924372,0.94245,0.20554,0.36807,0.34262,0.28083,1
19.478803,-99.233218,2280,15057,Naucalpan de Juárez,1431,1496,5314.86624,834434,171.49349,179.2832,42.6,0.59676,0.847752566,0.82014,0.30206,0.06691,0.43963,0.07118,1
19.408763,-99.0182,2262,15058,Nezahualcóyotl,1400,1334,17098.53968,1077208,129.96561,123.83866,46.5,0.59461,0.845915661,0.81367,0.97176,0.0507,0.47988,0.04916,3
19.625715,-99.315898,2387,15060,Nicolás Romero,32,60,1832.34468,430601,7.43147,13.93401,51.4,0.60126,0.848458904,0.85863,0.10414,0.0029,0.53044,0.00553,12
19.358387,-98.976602,2255,15070,La Paz,1173,926,8218.59459,304088,385.7436,304.51711,62.7,0.59307,0.845560287,0.81115,0.46709,0.15049,0.64706,0.1209,5
19.713924,-99.953294,2571,15074,San Felipe del Progreso,123,261,392.74797,144924,84.87207,180.09439,75.4,0.60396,0.853904199,0.92482,0.02232,0.03311,0.77812,0.0715,6
19.710207,-98.967143,2272,15081,Tecámac,1229,1143,3487.28025,547503,224.47366,208.76598,40.2,0.60384,0.845479479,0.81727,0.19819,0.08758,0.41486,0.08288,1
19.470014,-99.594906,2685,15087,Temoaya,6,62,559.60847,105766,5.6729,58.61997,62,0.59649,0.850842478,0.96583,0.0318,0.00221,0.63983,0.02327,8
18.96183,-99.593842,2029,15088,Tenancingo,206,326,642.19018,104677,196.79586,311.43422,62.7,0.58092,0.850833389,0.72986,0.0365,0.07678,0.64706,0.12364,8
19.713778,-99.223514,2289,15095,Tepotzotlán,2,29,551.57447,103696,1.92871,27.96636,46.3,0.60395,0.847669665,0.82338,0.03135,0.00075,0.47781,0.0111,7
19.51344,-98.881484,2250,15099,Texcoco,1336,1238,639.54378,277562,481.3339,446.02647,56.4,0.59782,0.844747691,0.80935,0.03635,0.18779,0.58204,0.17708,15
19.538523,-99.195198,2257,15104,Tlalnepantla de Baz,3302,2759,8729.8961,672202,491.22139,410.4421,36.7,0.59859,0.84742776,0.81187,0.49615,0.19165,0.37874,0.16295,5
19.293488,-99.657317,2671,15106,Toluca,3575,3307,2010.17219,910608,392.59484,363.16395,51.8,0.59108,0.851375658,0.96079,0.11424,0.15317,0.53457,0.14418,10
19.685548,-99.128605,2254,15108,Tultepec,17,49,5838.7037,157645,10.78372,31.0825,43.2,0.60309,0.846858854,0.81079,0.33183,0.00421,0.44582,0.01234,5
19.647513,-99.169195,2248,15109,Tultitlán,813,928,7483.2029,516341,157.45409,179.72619,42.2,0.60192,0.847205616,0.80863,0.42529,0.06143,0.4355,0.07135,5
19.441876,-99.99505,2604,15114,Villa Victoria,7,29,255.17925,108196,6.46974,26.80321,71.9,0.59562,0.854260921,0.93669,0.0145,0.00252,0.742,0.01064,6
19.284906,-99.735038,2750,15118,Zinacantepec,54,140,659.77994,203872,26.48721,68.67054,52.5,0.59082,0.852039631,0.98921,0.0375,0.01033,0.5418,0.02726,14
19.797123,-99.100634,2261,15120,Zumpango,850,688,1252.03125,280455,303.07893,245.31565,58.5,0.60651,0.846619897,0.81331,0.07116,0.11824,0.60372,0.09739,15
19.656996,-99.209286,2280,15121,Cuautitlán Izcalli,708,1071,5046.93636,555163,127.53011,192.91631,31.5,0.60221,0.847548114,0.82014,0.28683,0.04975,0.32508,0.07659,1
19.278765,-98.943449,2252,15122,Valle de Chalco Solidaridad,293,374,8334.70213,391731,74.79622,95.47368,66.3,0.59063,0.84527706,0.81007,0.47369,0.02918,0.68421,0.0379,5
19.661043,-100.151945,2739,15124,San José del Rincón,18,143,205.08607,100082,17.98525,142.88284,77,0.60234,0.85560128,0.98525,0.01166,0.00702,0.79463,0.05673,6
19.087227,-102.355264,319,16006,Apatzingán,123,303,76.94573,126191,97.47129,240.11221,41.3,0.58476,0.874424305,0.11475,0.00437,0.03803,0.42621,0.09533,7
